화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2012-06-19 11:17:00,2012,6,19,0,9~12,춘천시,남면,산중턱,맑음,29,37,,인간의 부주의,춘천소방서,강촌119안전센터,,3400,30,30,0.0,181,2700,13,0,1445,0.1
2012-06-21 13:52:00,2012,6,21,0,12~15,홍천군,북방면,산정상,맑음,20,82,,인간의 부주의,홍천소방서,홍천119안전센터,북방119지역대,1028,17,17,4.0,55,51640,10,0,710,0.08
2012-06-22 12:24:00,2012,6,22,0,9~12,횡성군,서원면,산정상,구름많음,27,57,,인간의 부주의,횡성소방서,횡성119안전센터,,1158,15,15,9.0,95,21533,16,0,0,0.7
2012-06-29 05:41:00,2012,6,29,0,3~6,원주시,부론면,산정상,맑음,23,50,,인간의 부주의,원주소방서,문막119안전센터,부론119지역대,5426,30,12,7.0,98,20849,8,0,0,0.2
2012-10-14 14:28:00,2012,10,14,1,12~15,속초시,설악동,산중턱,맑음,20,51,,인간의 부주의,속초소방서,설악119안전센터,,1339,9,3,0.0,50,4738,8,0,0,0.01
2012-10-21 13:00:00,2012,10,21,1,12~15,원주시,문막읍,산정상,맑음,21,52,,미상,원주소방서,문막119안전센터,,4025,17,8,0.0,28,13105,10,0,0,0.03
2012-11-27 12:16:00,2012,11,27,0,9~12,춘천시,신동,산정상,맑음,5,19,,인간의 부주의,춘천소방서,후평119안전센터,,800,8,8,0.0,33,3400,6,0,0,0.01
2012-12-26 12:21:00,2012,12,26,0,9~12,삼척시,가곡면,산아래,맑음,-8,42,,인간의 부주의,삼척소방서,원덕119안전센터,가곡119지역대,1300,59,23,4.0,385,23500,29,0,0,0.2
2013-01-12 16:46:00,2013,1,12,1,15~18,양양군,강현면,산아래,흐림,5,49,,인간의 부주의,양양소방서,양양119안전센터,,1152,12,8,0.0,268,3554,14,0,0,0.1
2013-02-28 12:09:00,2013,2,28,0,9~12,삼척시,원덕읍,산아래,구름많음,10,41,,인간의 부주의,삼척소방서,원덕119안전센터,,410,37,2,0.0,242,10100,15,0,0,0.02
2013-03-06 15:08:00,2013,3,6,0,15~18,춘천시,남산면,산아래,맑음,11,54,,인간의 부주의,춘천소방서,강촌119안전센터,,1200,29,15,0.0,118,5000,13,0,0,0.05
2013-03-08 12:12:00,2013,3,8,0,9~12,양양군,현남면,산아래,맑음,14,35,건조주의보,인간의 부주의,양양소방서,하조대119안전센터,,956,50,13,0.0,721,11618,21,0,457,1.0
2013-03-09 13:10:00,2013,3,9,1,12~15,춘천시,북산면,산아래,맑음,21,26,,인간의 부주의,춘천소방서,후평119안전센터,,3200,30,30,0.0,75,4300,7,0,0,0.3
2013-03-11 12:44:00,2013,3,11,0,9~12,양구군,양구읍,산아래,맑음,8,44,,인간의 부주의,춘천소방서,양구119안전센터,,1300,57,13,23.0,95,2600,5,0,1,0.1
2013-03-16 10:58:00,2013,3,16,1,9~12,양양군,강현면,산아래,맑음,13,31,,인간의 부주의,양양소방서,양양119안전센터,,2000,15,9,0.0,181,11100,24,0,2889,0.2
2013-03-23 14:31:00,2013,3,23,1,12~15,원주시,지정면,산중턱,맑음,7,56,,미상,원주소방서,문막119안전센터,지정119지역대,1129,21,8,8.0,73,4306,6,0,1320,0.1
2013-03-27 14:35:00,2013,3,27,0,12~15,춘천시,남산면,산아래,맑음,15,13,,인간의 부주의,춘천소방서,강촌119안전센터,,644,20,7,0.0,91,21710,13,0,156231,4.0
2013-03-27 15:54:00,2013,3,27,0,15~18,홍천군,홍천읍,산아래,맑음,17,14,,인간의 부주의,홍천소방서,홍천119안전센터,,445,3,3,0.0,206,3959,17,0,4765,0.1
2013-03-28 02:12:00,2013,3,28,0,0~3,강릉시,교동,산중턱,맑음,4,37,,방화 및 방화의심,강릉소방서,유천119안전센터,,504,2,2,0.0,22,2029,9,0,0,0.02
2013-04-01 14:20:00,2013,4,1,0,12~15,춘천시,동면,미상,구름많음,15,19,,미상,춘천소방서,후평119안전센터,,1027,5,5,0.0,46,812,7,0,0,0.01
2013-04-27 11:47:00,2013,4,27,1,9~12,양양군,현남면,산중턱,맑음,16,54,,미상,양양소방서,하조대119안전센터,,859,36,5,0.0,154,13120,10,0,580,0.3
